"Product name","Product description","Price","Category","Subcategory","Color","Size","Material","Tags","Product link","Image link","Brand / seller name"
"Indigenous Brass Adjustable Ring with Klifus Motif","A brass ring with Klifus-inspired indigenous design, adjustable fit.","PHP 1604.94","Jewelry","Ring","Gold","Unspecified","Brass","ring, Klifus motif, indigenous, brass, Filipino","Unspecified","Unspecified","SintaWeddings"
"Indigenous Brass Adjustable Ring with Olo Motif","A brass ring featuring Olo-inspired indigenous design, adjustable for comfort.","PHP 1604.94","Jewelry","Ring","Gold","Unspecified","Brass","ring, Olo motif, indigenous, brass, Filipino","Unspecified","Unspecified","SintaWeddings"
"Indigenous Brass Adjustable Ring with Tres Santan Motif","A brass ring with Tres Santan flower-inspired indigenous design, adjustable fit.","PHP 1604.94","Jewelry","Ring","Gold","Unspecified","Brass","ring, Tres Santan motif, indigenous, brass, Filipino","Unspecified","Unspecified","SintaWeddings"
"Indigenous Brass Adjustable Ring with Mini South Sea Pearl","A brass ring featuring a mini South Sea pearl accent, adjustable for size.","PHP 1604.94","Jewelry","Ring","White","Unspecified","Brass, pearl","ring, pearl, indigenous, brass, Filipino","Unspecified","Unspecified","SintaWeddings"
"Indigenous Brass Adjustable Ring with Mother of Pearl","A brass ring with mother-of-pearl accent, adjustable for comfort.","PHP 1604.94","Jewelry","Ring","White","Unspecified","Brass, mother of pearl","ring, mother of pearl, indigenous, brass, Filipino","Unspecified","Unspecified","SintaWeddings"
"Indigenous Brass Adjustable Ring with Abaca Fiber Accent","A brass ring featuring abaca fiber detail, adjustable fit.","PHP 1604.94","Jewelry","Ring","Natural","Unspecified","Brass, abaca fiber","ring, abaca fiber, indigenous, brass, Filipino","Unspecified","Unspecified","SintaWeddings"
"Indigenous Brass Adjustable Ring with Sampaguita Motif","A brass ring with sampaguita flower-inspired indigenous design, adjustable for comfort.","PHP 1604.94","Jewelry","Ring","White","Unspecified","Brass","ring, sampaguita motif, indigenous, brass, Filipino","Unspecified","Unspecified","SintaWeddings"
"Indigenous Brass Adjustable Ring with Birds of Paradise Motif","A brass ring featuring birds of paradise-inspired indigenous design, adjustable fit.","PHP 1604.94","Jewelry","Ring","Multicolor","Unspecified","Brass","ring, birds of paradise motif, indigenous, brass, Filipino","Unspecified","Unspecified","SintaWeddings"
"Indigenous Brass Adjustable Ring with Rosette Motif","A brass ring with rosette-inspired indigenous design, adjustable for size.","PHP 1604.94","Jewelry","Ring","Gold","Unspecified","Brass","ring, rosette motif, indigenous, brass, Filipino","Unspecified","Unspecified","SintaWeddings"
"Indigenous Brass Adjustable Ring with Golden Bloom Motif","A brass ring featuring golden bloom-inspired indigenous design, adjustable fit.","PHP 1604.94","Jewelry","Ring","Gold","Unspecified","Brass","ring, golden bloom motif, indigenous, brass, Filipino","Unspecified","Unspecified","SintaWeddings"
"Indigenous Brass Adjustable Ring with Rose Pearl Motif","A brass ring with rose pearl-inspired indigenous design, adjustable for comfort.","PHP 1604.94","Jewelry","Ring","White","Unspecified","Brass, pearl","ring, rose pearl motif, indigenous, brass, Filipino","Unspecified","Unspecified","SintaWeddings"
"Indigenous Brass Adjustable Ring with Glossy Pearl Motif","A brass ring featuring glossy pearl-inspired indigenous design, adjustable fit.","PHP 1604.94","Jewelry","Ring","White","Unspecified","Brass, pearl","ring, glossy pearl motif, indigenous, brass, Filipino","Unspecified","Unspecified","SintaWeddings"
"Indigenous Brass Adjustable Ring with Bird Motif","A brass ring featuring bird-inspired indigenous design, adjustable fit.","PHP 1604.94","Jewelry","Ring","Gold","Unspecified","Brass","ring, bird motif, indigenous, brass, Filipino","Unspecified","Unspecified","SintaWeddings"
"Indigenous Brass Adjustable Ring with Bell Motif","A brass ring featuring bell-inspired indigenous design, adjustable fit.","PHP 1604.94","Jewelry","Ring","Gold","Unspecified","Brass","ring, bell motif, indigenous, brass, Filipino","Unspecified","Unspecified","SintaWeddings"
"Indigenous Brass Adjustable Ring with Sphere Motif","A brass ring featuring sphere-inspired indigenous design, adjustable fit.","PHP 1604.94","Jewelry","Ring","Gold","Unspecified","Brass","ring, sphere motif, indigenous, brass, Filipino","Unspecified","Unspecified","SintaWeddings"
"Indigenous Brass Adjustable Ring with Classic Motif","A brass ring featuring classic indigenous design, adjustable fit.","PHP 1604.94","Jewelry","Ring","Gold","Unspecified","Brass","ring, classic motif, indigenous, brass, Filipino","Unspecified","Unspecified","SintaWeddings"
"Indigenous Brass Adjustable Ring with Minimalist Motif","A brass ring featuring minimalist indigenous design, adjustable fit.","PHP 1604.94","Jewelry","Ring","Gold","Unspecified","Brass","ring, minimalist motif, indigenous, brass, Filipino","Unspecified","Unspecified","SintaWeddings"
"Indigenous Brass Adjustable Ring with Jusilyn Silk Accent","A brass ring featuring Jusilyn silk accent, adjustable fit.","PHP 1604.94","Jewelry","Ring","Off-White","Unspecified","Brass, silk","ring, silk accent, indigenous, brass, Filipino","Unspecified","Unspecified","SintaWeddings"
"Indigenous Brass Adjustable Ring with Wedding Pillow Motif","A brass ring featuring wedding pillow-inspired indigenous design, adjustable fit.","PHP 1604.94","Jewelry","Ring","White","Unspecified","Brass","ring, wedding pillow motif, indigenous, brass, Filipino","Unspecified","Unspecified","SintaWeddings"
"Indigenous Brass Adjustable Ring with Unity Cord Motif","A brass ring featuring unity cord-inspired indigenous design, adjustable fit.","PHP 1604.94","Jewelry","Ring","White","Unspecified","Brass","ring, unity cord motif, indigenous, brass, Filipino","Unspecified","Unspecified","SintaWeddings"
"Indigenous Brass Adjustable Ring with Veil Motif","A brass ring featuring veil-inspired indigenous design, adjustable fit.","PHP 1604.94","Jewelry","Ring","White","Unspecified","Brass","ring, veil motif, indigenous, brass, Filipino","Unspecified","Unspecified","SintaWeddings"
"Indigenous Brass Adjustable Ring with Abaniko Motif","A brass ring featuring abaniko-inspired indigenous design, adjustable fit.","PHP 1604.94","Jewelry","Ring","Natural","Unspecified","Brass","ring, abaniko motif, indigenous, brass, Filipino","Unspecified","Unspecified","SintaWeddings"
"Indigenous Brass Adjustable Ring with Capiz Motif","A brass ring featuring capiz shell-inspired indigenous design, adjustable fit.","PHP 1604.94","Jewelry","Ring","White","Unspecified","Brass, capiz shell","ring, capiz motif, indigenous, brass, Filipino","Unspecified","Unspecified","SintaWeddings"
"Indigenous Brass Adjustable Ring with Malong Motif","A brass ring featuring malong-inspired indigenous design, adjustable fit.","PHP 1604.94","Jewelry","Ring","Red","Unspecified","Brass, textile","ring, malong motif, indigenous, brass, Filipino","Unspecified","Unspecified","SintaWeddings"
"Indigenous Brass Adjustable Ring with Unity Veil Motif","A brass ring featuring unity veil-inspired indigenous design, adjustable fit.","PHP 1604.94","Jewelry","Ring","White","Unspecified","Brass","ring, unity veil motif, indigenous, brass, Filipino","Unspecified","Unspecified","SintaWeddings"
"Indigenous Brass Adjustable Ring with Cord Motif","A brass ring featuring cord-inspired indigenous design, adjustable fit.","PHP 1604.94","Jewelry","Ring","White","Unspecified","Brass","ring, cord motif, indigenous, brass, Filipino","Unspecified","Unspecified","SintaWeddings"
"Indigenous Brass Adjustable Ring with Arras Motif","A brass ring featuring arras-inspired indigenous design, adjustable fit.","PHP 1604.94","Jewelry","Ring","Gold","Unspecified","Brass","ring, arras motif, indigenous, brass, Filipino","Unspecified","Unspecified","SintaWeddings"
"Indigenous Brass Adjustable Ring with Yugal Motif","A brass ring featuring yugal-inspired indigenous design, adjustable fit.","PHP 1604.94","Jewelry","Ring","White","Unspecified","Brass","ring, yugal motif, indigenous, brass, Filipino","Unspecified","Unspecified","SintaWeddings"
"Indigenous Brass Adjustable Ring with Rosary Motif","A brass ring featuring rosary-inspired indigenous design, adjustable fit.","PHP 1604.94","Jewelry","Ring","White","Unspecified","Brass, beads","ring, rosary motif, indigenous, brass, Filipino","Unspecified","Unspecified","SintaWeddings"
"Indigenous Brass Adjustable Ring with Bloom Motif","A brass ring featuring bloom-inspired indigenous design, adjustable fit.","PHP 1604.94","Jewelry","Ring","Gold","Unspecified","Brass","ring, bloom motif, indigenous, brass, Filipino","Unspecified","Unspecified","SintaWeddings"
"Indigenous Brass Adjustable Ring with Paradise Motif","A brass ring featuring paradise-inspired indigenous design, adjustable fit.","PHP 1604.94","Jewelry","Ring","Multicolor","Unspecified","Brass","ring, paradise motif, indigenous, brass, Filipino","Unspecified","Unspecified","SintaWeddings"
"Indigenous Brass Adjustable Ring with Ring Pillow Motif","A brass ring featuring ring pillow-inspired indigenous design, adjustable fit.","PHP 1604.94","Jewelry","Ring","White","Unspecified","Brass","ring, ring pillow motif, indigenous, brass, Filipino","Unspecified","Unspecified","SintaWeddings"
"Indigenous Brass Adjustable Ring with Wedding Veil Motif","A brass ring featuring wedding veil-inspired indigenous design, adjustable fit.","PHP 1604.94","Jewelry","Ring","White","Unspecified","Brass","ring, wedding veil motif, indigenous, brass, Filipino","Unspecified","Unspecified","SintaWeddings"
"Indigenous Brass Adjustable Ring with Coin Motif","A brass ring featuring coin-inspired indigenous design, adjustable fit.","PHP 1604.94","Jewelry","Ring","Gold","Unspecified","Brass","ring, coin motif, indigenous, brass, Filipino","Unspecified","Unspecified","SintaWeddings"
"Indigenous Brass Adjustable Ring with Classic Filipino Motif","A brass ring featuring classic Filipino-inspired indigenous design, adjustable fit.","PHP 1604.94","Jewelry","Ring","Gold","Unspecified","Brass","ring, Filipino motif, indigenous, brass","Unspecified","Unspecified","SintaWeddings"
"Indigenous Brass Adjustable Ring with Heritage Motif","A brass ring featuring heritage-inspired indigenous design, adjustable fit.","PHP 1604.94","Jewelry","Ring","Gold","Unspecified","Brass","ring, heritage motif, indigenous, brass, Filipino","Unspecified","Unspecified","SintaWeddings"
"Indigenous Brass Adjustable Ring with Family Motif","A brass ring featuring family-inspired indigenous design, adjustable fit.","PHP 1604.94","Jewelry","Ring","Gold","Unspecified","Brass","ring, family motif, indigenous, brass, Filipino","Unspecified","Unspecified","SintaWeddings"
"Indigenous Brass Adjustable Ring with Culture Motif","A brass ring featuring culture-inspired indigenous design, adjustable fit.","PHP 1604.94","Jewelry","Ring","Gold","Unspecified","Brass","ring, culture motif, indigenous, brass, Filipino","Unspecified","Unspecified","SintaWeddings"
"Indigenous Brass Adjustable Ring with Tradition Motif","A brass ring featuring tradition-inspired indigenous design, adjustable fit.","PHP 1604.94","Jewelry","Ring","Gold","Unspecified","Brass","ring, tradition motif, indigenous, brass, Filipino","Unspecified","Unspecified","SintaWeddings"
"Indigenous Brass Adjustable Ring with Ceremony Motif","A brass ring featuring ceremony-inspired indigenous design, adjustable fit.","PHP 1604.94","Jewelry","Ring","Gold","Unspecified","Brass","ring, ceremony motif, indigenous, brass, Filipino","Unspecified","Unspecified","SintaWeddings"
"Indigenous Brass Adjustable Ring with Wedding Symbol Motif","A brass ring featuring wedding symbol-inspired indigenous design, adjustable fit.","PHP 1604.94","Jewelry","Ring","Gold","Unspecified","Brass","ring, wedding symbol motif, indigenous, brass, Filipino","Unspecified","Unspecified","SintaWeddings"
"Indigenous Brass Adjustable Ring with Filipino Heritage Motif","A brass ring featuring Filipino heritage-inspired indigenous design, adjustable fit.","PHP 1604.94","Jewelry","Ring","Gold","Unspecified","Brass","ring, heritage motif, indigenous, brass, Filipino","Unspecified","Unspecified","SintaWeddings"
"Indigenous Brass Adjustable Ring with Unity Symbol Motif","A brass ring featuring unity symbol-inspired indigenous design, adjustable fit.","PHP 1604.94","Jewelry","Ring","Gold","Unspecified","Brass","ring, unity symbol motif, indigenous, brass, Filipino","Unspecified","Unspecified","SintaWeddings"
"Indigenous Brass Adjustable Ring with Faith Motif","A brass ring featuring faith-inspired indigenous design, adjustable fit.","PHP 1604.94","Jewelry","Ring","Gold","Unspecified","Brass","ring, faith motif, indigenous, brass, Filipino","Unspecified","Unspecified","SintaWeddings"
"Indigenous Brass Adjustable Ring with Love Motif","A brass ring featuring love-inspired indigenous design, adjustable fit.","PHP 1604.94","Jewelry","Ring","Gold","Unspecified","Brass","ring, love motif, indigenous, brass, Filipino","Unspecified","Unspecified","SintaWeddings"
"Indigenous Brass Adjustable Ring with Unity Cord Symbol","A brass ring featuring unity cord symbol-inspired indigenous design, adjustable fit.","PHP 1604.94","Jewelry","Ring","White","Unspecified","Brass","ring, unity cord symbol, indigenous, brass, Filipino","Unspecified","Unspecified","SintaWeddings"
"Indigenous Brass Adjustable Ring with Filipino Wedding Symbol","A brass ring featuring Filipino wedding symbol-inspired indigenous design, adjustable fit.","PHP 1604.94","Jewelry","Ring","Gold","Unspecified","Brass","ring, wedding symbol, indigenous, brass, Filipino","Unspecified","Unspecified","SintaWeddings"
"Indigenous Brass Adjustable Ring with Filipino Unity Symbol","A brass ring featuring Filipino unity symbol-inspired indigenous design, adjustable fit.","PHP 1604.94","Jewelry","Ring","Gold","Unspecified","Brass","ring, unity symbol, indigenous, brass, Filipino","Unspecified","Unspecified","SintaWeddings"
"Indigenous Brass Adjustable Ring with Filipino Wedding Heritage Motif","A brass ring featuring Filipino wedding heritage-inspired indigenous design, adjustable fit.","PHP 1604.94","Jewelry","Ring","Gold","Unspecified","Brass","ring, wedding heritage motif, indigenous, brass, Filipino","Unspecified","Unspecified","SintaWeddings"
"Indigenous Brass Adjustable Ring with Filipino Unity Heritage Motif","A brass ring featuring Filipino unity heritage-inspired indigenous design, adjustable fit.","PHP 1604.94","Jewelry","Ring","Gold","Unspecified","Brass","ring, unity heritage motif, indigenous, brass, Filipino","Unspecified","Unspecified","SintaWeddings"
"5\"" Handmade Capiz Chime Ornaments – Star","Poinsettia & Flower ""Capiz shell chime ornaments with cascading discs handcrafted in star and poinsettia and flower designs for Filipino Christmas décor.""","PHP 2591.98","Accessories","Ornament","White","5""","Capiz shell","ornament, capiz, Filipino, Christmas décor","Unspecified","Unspecified","SintaWeddings"
"Pamaypay Embroidered Filipino Folding Hand Fan (Abaniko)","A folding hand fan embroidered with Filipino motifs, handmade in the Philippines, blending utility with cultural artistry.","PHP 2159.88","Accessories","Hand Fan","Multicolor","Unspecified","Fabric, embroidery","fan, abaniko, Filipino, handmade","Unspecified","Unspecified","SintaWeddings"
"Large Abaniko Filipino Hand Fan (Buri Palm Leaves)","A large hand fan crafted from buri palm leaves, traditional Filipino abaniko style.","PHP 925.31","Accessories","Hand Fan","Natural","Large","Buri palm leaves","fan, abaniko, Filipino, palm","Unspecified","Unspecified","SintaWeddings"
"Large Abaniko Filipino Rainbow Hand Fan (Buri Palm Leaves)","A rainbow-colored hand fan made from buri palm leaves, festive Filipino abaniko design.","PHP 1048.77","Accessories","Hand Fan","Multicolor","Large","Buri palm leaves","fan, abaniko, rainbow, Filipino","Unspecified","Unspecified","SintaWeddings"
