PRODUCT TITLE,PRODUCT DESCRIPTION,COLOR,SIZE,MATERIAL,TEXT_CONTENT
Bilo-Bilo: Filipino Dessert Keychain (KCH-BLO-001),"A handcrafted keychain inspired by Bilo-Bilo, a traditional Filipino dessert known for its colorful mix of crushed ice, milk, ube, nata de coco, langka, mochi, sago, and sweet potatoes. This miniature replica is made from resin, polymer clay, foam, beads, and a metal keychain ring, capturing the layered textures and vibrant ingredients of the real dessert. Designed as a decorative charm, it’s ideal for cultural-themed accessories, gifts, or collectibles. keychain only-not edible.",Multi-Colored,APPRO x . 2 IN TALL,"Resin, Polymer Clay, Foam, Beads, Metal Keychain Ring",bilo bilo filipino dessert keychain kch blo 001 a handcrafted keychain inspired by bilo bilo a traditional filipino dessert known for its colorful mix of crushed ice milk ube nata de coco langka mochi sago and sweet potatoes this miniature replica is made from resin polymer clay foam beads and a metal keychain ring capturing the layered textures and vibrant ingredients of the real dessert designed as a decorative charm it s ideal for cultural themed accessories gifts or collectibles keychain only not edible multi colored appro x 2 in tall resin polymer clay foam beads metal keychain ring
Adulting Awards in Filipino Sticker Tags,"A collection of vinyl stickers designed as colorful award ribbons featuring humorous Filipino phrases that celebrate everyday adult wins. Each sticker showcases a playful Tagalog message such as “Hindi Gumastos Today!”, “Naligo Ako Today!”, and “Wow, Galing!”, printed in bold text on ribbon-style graphics. These stickers are waterproof, holographic, and repositionable-perfect for planners, laptops, party decor, or gifting.",Multi-Colored,APPRO x . 4 IN x 2 IN,"Vinyl, Ink",adulting awards in filipino sticker tags a collection of vinyl stickers designed as colorful award ribbons featuring humorous filipino phrases that celebrate everyday adult wins each sticker showcases a playful tagalog message such as hindi gumastos today naligo ako today and wow galing printed in bold text on ribbon style graphics these stickers are waterproof holographic and repositionable perfect for planners laptops party decor or gifting multi colored appro x 4 in x 2 in vinyl ink
"Ay Nako, Girl! - Filipino Hugot Lines Sticker (STK-AYN-001)","A 3-in vinyl sticker featuring the bold Tagalog phrase “Ay nako, girl!”-a playful Filipino expression synonymous with “OMG, girl!” The design showcases black cursive text over a gradient background of pink, orange, and yellow, framed by a white border. This sticker captures the sass and humor of everyday Filipino conversations, making it perfect for party decor, journals, laptops, or cultural-themed gifts.",Multi-Colored,3 IN x 2 IN,"Vinyl, Ink",ay nako girl filipino hugot lines sticker stk ayn 001 a 3 in vinyl sticker featuring the bold tagalog phrase ay nako girl a playful filipino expression synonymous with omg girl the design showcases black cursive text over a gradient background of pink orange and yellow framed by a white border this sticker captures the sass and humor of everyday filipino conversations making it perfect for party decor journals laptops or cultural themed gifts multi colored 3 in x 2 in vinyl ink
Fruit Salad: Filipino Dessert Keychain (KCH-FRS-001),"A handcrafted keychain inspired by Fruit Salad, a classic Filipino dessert known for its colorful mix of fruits and sweet ingredients. This miniature replica features a dessert bowl crafted from resin, polymer clay, foam, and beads, representing elements like cherries, jackfruit, coconut, nata de coco, kaong, sago, jellies, ube, and milk. The charm is securely attached to a metal keychain ring and designed as a decorative accessory. keychain only-not edible.",Multi-Colored,APPRO x . 2 IN TALL,"Resin, Polymer Clay, Foam, Beads, Metal Keychain Ring",fruit salad filipino dessert keychain kch frs 001 a handcrafted keychain inspired by fruit salad a classic filipino dessert known for its colorful mix of fruits and sweet ingredients this miniature replica features a dessert bowl crafted from resin polymer clay foam and beads representing elements like cherries jackfruit coconut nata de coco kaong sago jellies ube and milk the charm is securely attached to a metal keychain ring and designed as a decorative accessory keychain only not edible multi colored appro x 2 in tall resin polymer clay foam beads metal keychain ring
Buko Pandan: Filipino Dessert Keychain (KCH-BKP-001),"A handcrafted keychain inspired by Buko Pandan, a beloved Filipino dessert known for its creamy texture and vibrant green jelly pieces. This miniature replica features a dessert cup crafted from resin, polymer clay, foam, and beads, representing ingredients like milk, pandan extract, nata de coco, sago, kaong, and assorted jellies. The charm is securely attached to a metal keychain ring and designed as a decorative accessory. keychain only-not edible.",Multi-Colored,APPRO x . 2 IN TALL,"Resin, Polymer Clay, Foam, Beads, Metal Keychain Ring",buko pandan filipino dessert keychain kch bkp 001 a handcrafted keychain inspired by buko pandan a beloved filipino dessert known for its creamy texture and vibrant green jelly pieces this miniature replica features a dessert cup crafted from resin polymer clay foam and beads representing ingredients like milk pandan extract nata de coco sago kaong and assorted jellies the charm is securely attached to a metal keychain ring and designed as a decorative accessory keychain only not edible multi colored appro x 2 in tall resin polymer clay foam beads metal keychain ring
Fruit Salad: Filipino Life Size Dessert Cup Décor (FGN-FRS-001),"A realistic fake food art of a classic Filipino dessert, the fruit salad. Made with upcycle from glass from the thrift store, handmade parts, and resin. This can be a decorative piece for your house, dessert shop, office, or anywhere really!",Multi-Colored,Unidentified,"Resin, Polymer Clay, Foam, Beads",fruit salad filipino life size dessert cup d cor fgn frs 001 a realistic fake food art of a classic filipino dessert the fruit salad made with upcycle from glass from the thrift store handmade parts and resin this can be a decorative piece for your house dessert shop office or anywhere really multi colored unidentified resin polymer clay foam beads
Buko Pandan: Filipino Life Size Dessert Cup Décor (FGN-BKP-001),"A realistic fake food art of a classic Filipino dessert, the buko pandan. Made with upcycle from glass from the thrift store, handmade parts, and resin. This can be a decorative piece for your house, dessert shop, office, or anywhere really!",Green,Unidentified,"Resin, Polymer Clay, Foam, Beads",buko pandan filipino life size dessert cup d cor fgn bkp 001 a realistic fake food art of a classic filipino dessert the buko pandan made with upcycle from glass from the thrift store handmade parts and resin this can be a decorative piece for your house dessert shop office or anywhere really green unidentified resin polymer clay foam beads
Iskrambol: Life Size Dessert Cup Décor,"A realistic fake food art of a classic Filipino street food dessert, the Iskrambol. Made with upcycle from glass from the thrift store, handmade parts, and resin. This can be a decorative piece for your house, dessert shop, office, or anywhere really!",Multi-Colored,Unidentified,"Resin, Polymer Clay, Foam, Beads",iskrambol life size dessert cup d cor a realistic fake food art of a classic filipino street food dessert the iskrambol made with upcycle from glass from the thrift store handmade parts and resin this can be a decorative piece for your house dessert shop office or anywhere really multi colored unidentified resin polymer clay foam beads
Kaya mo Yan! - Filipino Motivational Sticker Tag (STK-KMY-001),"A 4-in vinyl sticker featuring the Tagalog phrase “Kaya Mo Yan”-a heartfelt message meaning “You got this.” Designed in a speech bubble format with handwritten-style text, this sticker offers a dose of encouragement rooted in Filipino culture. Ideal for party decor, planners, laptops, or personal accessories, it’s printed with durable ink on waterproof vinyl. handmade in a pet-free, smoke-free suburban Dallas home, it’s a gentle reminder that resilience and support go hand in hand.",Black/White,APPRO x . 4 IN x 1.25 IN,"Vinyl, Ink",kaya mo yan filipino motivational sticker tag stk kmy 001 a 4 in vinyl sticker featuring the tagalog phrase kaya mo yan a heartfelt message meaning you got this designed in a speech bubble format with handwritten style text this sticker offers a dose of encouragement rooted in filipino culture ideal for party decor planners laptops or personal accessories it s printed with durable ink on waterproof vinyl handmade in a pet free smoke free suburban dallas home it s a gentle reminder that resilience and support go hand in hand black white appro x 4 in x 1 25 in vinyl ink
ASTIG!matism - Filipino Sticker Tag (STK-ATG-001),"A 3.25-in vinyl sticker featuring the bold phrase “I put the ASTIG in astigmatism”, blending Filipino humor with eyewear pride. “Astig” is a Tagalog slang term meaning “badass” or “cool,” often associated with rakista (rockers) in early 2000s Filipino pop culture. The design includes stylized text and eyeglasses graphics, making it perfect for party decor, journals, laptops, or gifts for proud bespectacled Pinoys.",Multi-Colored,APPRO x . 3.25 IN x 2 IN,"Vinyl, Ink",astig matism filipino sticker tag stk atg 001 a 3 25 in vinyl sticker featuring the bold phrase i put the astig in astigmatism blending filipino humor with eyewear pride astig is a tagalog slang term meaning badass or cool often associated with rakista rockers in early 2000s filipino pop culture the design includes stylized text and eyeglasses graphics making it perfect for party decor journals laptops or gifts for proud bespectacled pinoys multi colored appro x 3 25 in x 2 in vinyl ink
Filipino Meals Stickers: Silogs,"A collection of vinyl stickers featuring illustrated plates of Silog-a beloved Filipino breakfast combo of garlic fried rice (sinangag), fried egg (itlog), and a choice of savory protein. Each sticker showcases a different silog variant such as Tapsilog (beef tapa), Tocilog (sweet cured pork), Bangsilog (milkfish), Hotsilog (hotdog), Chicksilog (fried chicken), Tinapasilog (smoked fish), Longsilog (Filipino sausage), BBQsilog (barbecue), and Porksilog (pork chop). Printed with a matte finish, these waterproof and repositionable stickers are perfect for party decor, planners, food journals, or cultural-themed gifts.",Multi-Colored,APPRO x . 4 IN x 2 IN,"Vinyl, Ink",filipino meals stickers silogs a collection of vinyl stickers featuring illustrated plates of silog a beloved filipino breakfast combo of garlic fried rice sinangag fried egg itlog and a choice of savory protein each sticker showcases a different silog variant such as tapsilog beef tapa tocilog sweet cured pork bangsilog milkfish hotsilog hotdog chicksilog fried chicken tinapasilog smoked fish longsilog filipino sausage bbqsilog barbecue and porksilog pork chop printed with a matte finish these waterproof and repositionable stickers are perfect for party decor planners food journals or cultural themed gifts multi colored appro x 4 in x 2 in vinyl ink
Pinoy AF! FilipinoPlastic Bag Stickers (STK-PAF-001),"A 2.75-in vinyl sticker designed as a playful homage to the iconic “Thank You” plastic grocery bag, reimagined with a Pinoy AF twist. Featuring bold red and pink text and a gentle “Salamat Po” at the bottom, this sticker celebrates Filipino nostalgia and everyday humor. Perfect for party decor, planners, water bottles, or gifts-especially for those who grew up with a Lola who neatly folded every grocery bag.",White/Red/Pink,2.75 IN x 3 IN,"Vinyl, Ink",pinoy af filipinoplastic bag stickers stk paf 001 a 2 75 in vinyl sticker designed as a playful homage to the iconic thank you plastic grocery bag reimagined with a pinoy af twist featuring bold red and pink text and a gentle salamat po at the bottom this sticker celebrates filipino nostalgia and everyday humor perfect for party decor planners water bottles or gifts especially for those who grew up with a lola who neatly folded every grocery bag white red pink 2 75 in x 3 in vinyl ink
Kayumanggi Filipino Stickers (STK-KGG-001),"A 3-in holographic vinyl sticker featuring the word “Kayumanggi”-a Tagalog term that refers to the rich brown skin tone of many Filipinos. The design repeats the word in various colors and styles, celebrating Filipino identity and pride through vibrant visual language. Printed on waterproof vinyl with a holographic finish, this sticker is ideal for party decor, journals, laptops, or cultural-themed gifts.","Multi-Colored, Holographic Finish",3 IN x 3 IN,"Vinyl, Ink",kayumanggi filipino stickers stk kgg 001 a 3 in holographic vinyl sticker featuring the word kayumanggi a tagalog term that refers to the rich brown skin tone of many filipinos the design repeats the word in various colors and styles celebrating filipino identity and pride through vibrant visual language printed on waterproof vinyl with a holographic finish this sticker is ideal for party decor journals laptops or cultural themed gifts multi colored holographic finish 3 in x 3 in vinyl ink
Hopia Mani Popcorn - Filipino Pride Sticker Tags (STK-HMP-001),"A 3-in vinyl sticker featuring cheerful illustrations of hopia (Chinese pastry), mani (peanuts), and popcorn, each with a cute face and playful personality. The phrase “Hopia, Mani, Popcorn!” is a nostalgic shout heard from street vendors across the Philippines, evoking memories of childhood snacks and local markets. Printed with a matte finish, this sticker is waterproof, repositionable, and ideal for party decor, journals, laptops, or cultural-themed gifts.",Multi-Colored,3 IN x 3 IN,"Vinyl, Ink",hopia mani popcorn filipino pride sticker tags stk hmp 001 a 3 in vinyl sticker featuring cheerful illustrations of hopia chinese pastry mani peanuts and popcorn each with a cute face and playful personality the phrase hopia mani popcorn is a nostalgic shout heard from street vendors across the philippines evoking memories of childhood snacks and local markets printed with a matte finish this sticker is waterproof repositionable and ideal for party decor journals laptops or cultural themed gifts multi colored 3 in x 3 in vinyl ink
Pig-hati: Filipino Lechon Sticker (STK-PHT-001),"A 3-in vinyl sticker featuring a cartoon-style lechon (roast pig) wrapped in banana leaves with a sorrowful expression and the bold word “PIGHATI” above it. In Tagalog, pighati means “grief,” but this design plays on the pun-hati also means “split in half,” making it a humorous take on Filipino food and emotion. Perfect for party decor, journals, laptops, or cultural-themed gifts.",Multi-Colored,3 IN x 3 IN,"Vinyl, Ink",pig hati filipino lechon sticker stk pht 001 a 3 in vinyl sticker featuring a cartoon style lechon roast pig wrapped in banana leaves with a sorrowful expression and the bold word pighati above it in tagalog pighati means grief but this design plays on the pun hati also means split in half making it a humorous take on filipino food and emotion perfect for party decor journals laptops or cultural themed gifts multi colored 3 in x 3 in vinyl ink
Jowa Material: Filipino Kilig Stickers,"3-in vinyl sticker set featuring heart-shaped designs with the Tagalog phrases “Jowa Material” and “Kilig.” These expressions celebrate Filipino romantic slang-“Jowa” refers to a partner, boyfriend, or girlfriend, while “Kilig” captures the swoony, giddy feeling of romantic excitement. With playful typography and vibrant colors, these stickers are perfect for party decor, journals, laptops, or gifting to someone who makes your heart flutter.",Multi-Colored,3 IN x 3 IN,"Vinyl, Ink",jowa material filipino kilig stickers 3 in vinyl sticker set featuring heart shaped designs with the tagalog phrases jowa material and kilig these expressions celebrate filipino romantic slang jowa refers to a partner boyfriend or girlfriend while kilig captures the swoony giddy feeling of romantic excitement with playful typography and vibrant colors these stickers are perfect for party decor journals laptops or gifting to someone who makes your heart flutter multi colored 3 in x 3 in vinyl ink
"Filipino Meal Stickers: Nilaga, Palabok, Adobong Manok","A set of 4x2 in matte vinyl stickers featuring cartoon-style illustrations of classic Filipino dishes-Nilaga (boiled meat and vegetables), Palabok (savory rice noodles with garlic sauce and toppings), and Adobong Manok (soy-vinegar braised chicken). These waterproof and repositionable stickers celebrate Filipino comfort food and are perfect for party decor, journals, laptops, or cultural-themed gifts.",Multi-Colored,4 IN x 2 IN,"Vinyl, Ink",filipino meal stickers nilaga palabok adobong manok a set of 4x2 in matte vinyl stickers featuring cartoon style illustrations of classic filipino dishes nilaga boiled meat and vegetables palabok savory rice noodles with garlic sauce and toppings and adobong manok soy vinegar braised chicken these waterproof and repositionable stickers celebrate filipino comfort food and are perfect for party decor journals laptops or cultural themed gifts multi colored 4 in x 2 in vinyl ink
Halo-Halo Keychain (KCH-HAL-002),"Miniature halo-halo dessert keychain made from clay and resin, featuring a clear plastic cup filled with detailed molded ingredients. The contents include crushed ice, purple ube, yellow leche flan, and assorted colored layers representing traditional halo-halo toppings. Available in two variations: with lid and without lid. Each cup is securely attached to a metal keyring, suitable for use as a charm on bags, keys, or lanyards.","Transparent, Multi-Colored",SMALL,"Resin, Clay",halo halo keychain kch hal 002 miniature halo halo dessert keychain made from clay and resin featuring a clear plastic cup filled with detailed molded ingredients the contents include crushed ice purple ube yellow leche flan and assorted colored layers representing traditional halo halo toppings available in two variations with lid and without lid each cup is securely attached to a metal keyring suitable for use as a charm on bags keys or lanyards transparent multi colored small resin clay
Anti-Valentines: Filipino Hugot Lines Stickers,"A 2.5 × 4 in matte vinyl sticker set featuring three humorous Tagalog designs perfect for Anti-Valentine’s Day: “Mga Luha ng Ex Mo” (The tears of your ex), “Eye Drops ng Katotohanan” (Eye Drops of Reality-guaranteed to help you see they’re playing with your emotions), and “Anti-Marites Spray” (Anti-Gossip Spray). Each fantasy product parody is waterproof, repositionable, and handmade in a smoke-free, pet-free suburban Dallas home. Available individually or as a set, these stickers are ideal for party decor, journals, laptops, or gifting to your heartbreak-surviving bestie.",Multi-Colored,2.5 IN x 4 IN,"Vinyl, Ink",anti valentines filipino hugot lines stickers a 2 5 4 in matte vinyl sticker set featuring three humorous tagalog designs perfect for anti valentine s day mga luha ng ex mo the tears of your ex eye drops ng katotohanan eye drops of reality guaranteed to help you see they re playing with your emotions and anti marites spray anti gossip spray each fantasy product parody is waterproof repositionable and handmade in a smoke free pet free suburban dallas home available individually or as a set these stickers are ideal for party decor journals laptops or gifting to your heartbreak surviving bestie multi colored 2 5 in x 4 in vinyl ink
Halo-halo: Life Size Filipino Dessert Cup Décor (FGN-HAL-001),"A realistic fake food art of a o classic Filipino dessert, the halo halo. Made with upcycle from glass from the thrift store, handmade parts, and resin. This can writhed be a decorative piece for your house, dessert shop, office, or anywhere really! It can also have a paper holder attached so it doubles for function. Also can be a paperweight!",Multi-Colored,Unidentified,"Resin, Polymer Clay, Foam, Beads",halo halo life size filipino dessert cup d cor fgn hal 001 a realistic fake food art of a o classic filipino dessert the halo halo made with upcycle from glass from the thrift store handmade parts and resin this can writhed be a decorative piece for your house dessert shop office or anywhere really it can also have a paper holder attached so it doubles for function also can be a paperweight multi colored unidentified resin polymer clay foam beads
Pancit Palabok: Handmade Filipino Food Magnet (MGN-MLS-001),"A handmade miniature food magnet featuring Palabok, one of the Philippines’ most iconic noodle dishes-crafted from glaze and clay with intricate details like tiny hard-boiled eggs, green onions, and shrimp. This 3D charm celebrates Filipino culinary pride and is perfect for fridge decor, gift-giving, or cultural collections.",Multi-Colored,APPRO x . 2.5 IN diameter,"Clay, Glaze",pancit palabok handmade filipino food magnet mgn mls 001 a handmade miniature food magnet featuring palabok one of the philippines most iconic noodle dishes crafted from glaze and clay with intricate details like tiny hard boiled eggs green onions and shrimp this 3d charm celebrates filipino culinary pride and is perfect for fridge decor gift giving or cultural collections multi colored appro x 2 5 in diameter clay glaze
Philippine-Inspired Earrings,"A pair of handmade dangle earrings inspired by the Philippine flag, featuring the iconic three stars and a sun motif. These teardrop-shaped earrings are crafted from resin and glitter, with vibrant blue, red, and yellow accents that evoke national pride and dalagang Pilipina elegance. Lightweight and eye-catching, they’re perfect for cultural events, everyday wear, or gifting to proud Pinays.",Multi-Colored,APPRO x . 2 IN x 1 IN,"Resin, Glitter, Earring Hardware",philippine inspired earrings a pair of handmade dangle earrings inspired by the philippine flag featuring the iconic three stars and a sun motif these teardrop shaped earrings are crafted from resin and glitter with vibrant blue red and yellow accents that evoke national pride and dalagang pilipina elegance lightweight and eye catching they re perfect for cultural events everyday wear or gifting to proud pinays multi colored appro x 2 in x 1 in resin glitter earring hardware
Filipino-Themed Handprinted Scrunchies,"A handmade set of scrunchies featuring original doodle designs inspired by Filipino culture and cuisine. Each piece is sewn from soft, glossy polysatin and printed with playful motifs such as Halo-Halo (a colorful shaved ice dessert), a Philippine flag doodle, and Smiley Itlog (a sunny-side-up egg with a cheerful face). These vibrant accessories are perfect for gifting to the dalagang Pilipina in your life or adding a touch of Pinoy pride to your everyday look.",Multi-Colored,APPRO x . 4 IN diameter (UNSTRETCHED),"Polysatin (100% Polyester), Elastic",filipino themed handprinted scrunchies a handmade set of scrunchies featuring original doodle designs inspired by filipino culture and cuisine each piece is sewn from soft glossy polysatin and printed with playful motifs such as halo halo a colorful shaved ice dessert a philippine flag doodle and smiley itlog a sunny side up egg with a cheerful face these vibrant accessories are perfect for gifting to the dalagang pilipina in your life or adding a touch of pinoy pride to your everyday look multi colored appro x 4 in diameter unstretched polysatin 100 polyester elastic
