Product name,Product description,Category,Subcategory,Color,Size,Material,Tags,TEXT_CONTENT,TOKENS,TOKENS_FILTERED,TOKENS_LEMMATIZED,TAGS_LIST,TAGS_LIST_FINAL
Puso Pyramid Bridal Crossbody Bag,"A bridal crossbody bag shaped like a pyramid puso, handwoven with upcycled fabric and leather.",Bags,Bridal Crossbody Bag,White,UNSPECIFIED,"Upcycled Fabric, Leather","bridal, pyramid, crossbody, Filipino","Puso Pyramid Bridal Crossbody Bag A bridal crossbody bag shaped like a pyramid puso, handwoven with upcycled fabric and leather. White UNSPECIFIED Upcycled Fabric, Leather","['Puso', 'Pyramid', 'Bridal', 'Crossbody', 'Bag', 'A', 'bridal', 'crossbody', 'bag', 'shaped', 'like', 'a', 'pyramid', 'puso', ',', 'handwoven', 'with', 'upcycled', 'fabric', 'and', 'leather', '.', 'White', 'UNSPECIFIED', 'Upcycled', 'Fabric', ',', 'Leather']","['Puso', 'Pyramid', 'Bridal', 'Crossbody', 'Bag', 'bridal', 'crossbody', 'bag', 'shaped', 'like', 'pyramid', 'puso', 'handwoven', 'upcycled', 'fabric', 'leather', 'White', 'UNSPECIFIED', 'Upcycled', 'Fabric', 'Leather']","['Puso', 'Pyramid', 'Bridal', 'Crossbody', 'Bag', 'bridal', 'crossbody', 'bag', 'shaped', 'like', 'pyramid', 'puso', 'handwoven', 'upcycled', 'fabric', 'leather', 'White', 'UNSPECIFIED', 'Upcycled', 'Fabric', 'Leather']","['bridal', 'pyramid', 'crossbody', 'Filipino']","['bridal', 'crossbody', 'Filipino']"
Minimalist Filipino Unity Veil,"A simple, elegant veil used in the Filipino wedding cord and veil ceremony.",Wedding Ceremony,Unity Veil,White,UNSPECIFIED,Fabric,"veil, minimalist, Filipino, wedding","Minimalist Filipino Unity Veil A simple, elegant veil used in the Filipino wedding cord and veil ceremony. White UNSPECIFIED Fabric","['Minimalist', 'Filipino', 'Unity', 'Veil', 'A', 'simple', ',', 'elegant', 'veil', 'used', 'in', 'the', 'Filipino', 'wedding', 'cord', 'and', 'veil', 'ceremony', '.', 'White', 'UNSPECIFIED', 'Fabric']","['Minimalist', 'Filipino', 'Unity', 'Veil', 'simple', 'elegant', 'veil', 'used', 'Filipino', 'wedding', 'cord', 'veil', 'ceremony', 'White', 'UNSPECIFIED', 'Fabric']","['Minimalist', 'Filipino', 'Unity', 'Veil', 'simple', 'elegant', 'veil', 'used', 'Filipino', 'wedding', 'cord', 'veil', 'ceremony', 'White', 'UNSPECIFIED', 'Fabric']","['veil', 'minimalist', 'Filipino', 'wedding']","['veil', 'minimalist', 'Filipino', 'wedding']"
Woven Abaca Unity Cord Yugal,"A lasso-style unity cord handwoven from abaca fiber, symbolizing unity in Filipino weddings.",Wedding Ceremony,Unity Cord,Natural,UNSPECIFIED,Abaca Fiber,"cord, yugal, abaca, Filipino","Woven Abaca Unity Cord Yugal A lasso-style unity cord handwoven from abaca fiber, symbolizing unity in Filipino weddings. Natural UNSPECIFIED Abaca Fiber","['Woven', 'Abaca', 'Unity', 'Cord', 'Yugal', 'A', 'lasso-style', 'unity', 'cord', 'handwoven', 'from', 'abaca', 'fiber', ',', 'symbolizing', 'unity', 'in', 'Filipino', 'weddings', '.', 'Natural', 'UNSPECIFIED', 'Abaca', 'Fiber']","['Woven', 'Abaca', 'Unity', 'Cord', 'Yugal', 'lasso-style', 'unity', 'cord', 'handwoven', 'abaca', 'fiber', 'symbolizing', 'unity', 'Filipino', 'weddings', 'Natural', 'UNSPECIFIED', 'Abaca', 'Fiber']","['Woven', 'Abaca', 'Unity', 'Cord', 'Yugal', 'lasso-style', 'unity', 'cord', 'handwoven', 'abaca', 'fiber', 'symbolizing', 'unity', 'Filipino', 'wedding', 'Natural', 'UNSPECIFIED', 'Abaca', 'Fiber']","['cord', 'yugal', 'abaca', 'Filipino']","['cord', 'yugal', 'abaca', 'Filipino']"
Filipiniana Classic Unity Veil,"A traditional veil designed for Filipino cord and veil ceremonies, reflecting Filipiniana heritage.",Wedding Ceremony,Unity Veil,White,UNSPECIFIED,Fabric,"veil, Filipiniana, Filipino, wedding","Filipiniana Classic Unity Veil A traditional veil designed for Filipino cord and veil ceremonies, reflecting Filipiniana heritage. White UNSPECIFIED Fabric","['Filipiniana', 'Classic', 'Unity', 'Veil', 'A', 'traditional', 'veil', 'designed', 'for', 'Filipino', 'cord', 'and', 'veil', 'ceremonies', ',', 'reflecting', 'Filipiniana', 'heritage', '.', 'White', 'UNSPECIFIED', 'Fabric']","['Filipiniana', 'Classic', 'Unity', 'Veil', 'traditional', 'veil', 'Filipino', 'cord', 'veil', 'ceremonies', 'reflecting', 'Filipiniana', 'heritage', 'White', 'UNSPECIFIED', 'Fabric']","['Filipiniana', 'Classic', 'Unity', 'Veil', 'traditional', 'veil', 'Filipino', 'cord', 'veil', 'ceremony', 'reflecting', 'Filipiniana', 'heritage', 'White', 'UNSPECIFIED', 'Fabric']","['veil', 'Filipiniana', 'Filipino', 'wedding']","['veil', 'Filipiniana', 'Filipino', 'wedding']"
Pearl Rosary Unity Cord Lasso Yugal,"A unity cord lasso made with rosary beads, blending faith and Filipino wedding tradition.",Wedding Ceremony,Unity Cord,White,UNSPECIFIED,Rosary Beads,"cord, rosary, Filipino, yugal","Pearl Rosary Unity Cord Lasso Yugal A unity cord lasso made with rosary beads, blending faith and Filipino wedding tradition. White UNSPECIFIED Rosary Beads","['Pearl', 'Rosary', 'Unity', 'Cord', 'Lasso', 'Yugal', 'A', 'unity', 'cord', 'lasso', 'made', 'with', 'rosary', 'beads', ',', 'blending', 'faith', 'and', 'Filipino', 'wedding', 'tradition', '.', 'White', 'UNSPECIFIED', 'Rosary', 'Beads']","['Pearl', 'Rosary', 'Unity', 'Cord', 'Lasso', 'Yugal', 'unity', 'cord', 'lasso', 'rosary', 'beads', 'blending', 'faith', 'Filipino', 'wedding', 'tradition', 'White', 'UNSPECIFIED', 'Rosary', 'Beads']","['Pearl', 'Rosary', 'Unity', 'Cord', 'Lasso', 'Yugal', 'unity', 'cord', 'lasso', 'rosary', 'bead', 'blending', 'faith', 'Filipino', 'wedding', 'tradition', 'White', 'UNSPECIFIED', 'Rosary', 'Beads']","['cord', 'rosary', 'Filipino', 'yugal']","['cord', 'rosary', 'Filipino', 'yugal']"
Sphere Arras Arrhae Unity Wedding Coins,"A set of arrhae coins with sphere design, symbolizing prosperity in Filipino weddings.",Wedding Ceremony,Arrhae Coins,Gold,UNSPECIFIED,Metal,"arras, coins, Filipino, wedding","Sphere Arras Arrhae Unity Wedding Coins A set of arrhae coins with sphere design, symbolizing prosperity in Filipino weddings. Gold UNSPECIFIED Metal","['Sphere', 'Arras', 'Arrhae', 'Unity', 'Wedding', 'Coins', 'A', 'set', 'of', 'arrhae', 'coins', 'with', 'sphere', 'design', ',', 'symbolizing', 'prosperity', 'in', 'Filipino', 'weddings', '.', 'Gold', 'UNSPECIFIED', 'Metal']","['Sphere', 'Arras', 'Arrhae', 'Unity', 'Wedding', 'Coins', 'arrhae', 'coins', 'sphere', 'design', 'symbolizing', 'prosperity', 'Filipino', 'weddings', 'Gold', 'UNSPECIFIED', 'Metal']","['Sphere', 'Arras', 'Arrhae', 'Unity', 'Wedding', 'Coins', 'arrhae', 'coin', 'sphere', 'design', 'symbolizing', 'prosperity', 'Filipino', 'wedding', 'Gold', 'UNSPECIFIED', 'Metal']","['arras', 'coins', 'Filipino', 'wedding']","['arras', 'coins', 'Filipino', 'wedding']"
Wedding Unity Cord Lasso Yugal,A classic unity cord lasso used in Filipino wedding ceremonies.,Wedding Ceremony,Unity Cord,White,UNSPECIFIED,Fabric,"cord, yugal, Filipino, wedding",Wedding Unity Cord Lasso Yugal A classic unity cord lasso used in Filipino wedding ceremonies. White UNSPECIFIED Fabric,"['Wedding', 'Unity', 'Cord', 'Lasso', 'Yugal', 'A', 'classic', 'unity', 'cord', 'lasso', 'used', 'in', 'Filipino', 'wedding', 'ceremonies', '.', 'White', 'UNSPECIFIED', 'Fabric']","['Wedding', 'Unity', 'Cord', 'Lasso', 'Yugal', 'classic', 'unity', 'cord', 'lasso', 'used', 'Filipino', 'wedding', 'ceremonies', 'White', 'UNSPECIFIED', 'Fabric']","['Wedding', 'Unity', 'Cord', 'Lasso', 'Yugal', 'classic', 'unity', 'cord', 'lasso', 'used', 'Filipino', 'wedding', 'ceremony', 'White', 'UNSPECIFIED', 'Fabric']","['cord', 'yugal', 'Filipino', 'wedding']","['cord', 'yugal', 'Filipino', 'wedding']"
Embroidered Filipino Unity Veil,"A veil embroidered with delicate patterns, used in Filipino cord and veil ceremonies.",Wedding Ceremony,Unity Veil,White,UNSPECIFIED,Embroidered Fabric,"veil, embroidered, Filipino, wedding","Embroidered Filipino Unity Veil A veil embroidered with delicate patterns, used in Filipino cord and veil ceremonies. White UNSPECIFIED Embroidered Fabric","['Embroidered', 'Filipino', 'Unity', 'Veil', 'A', 'veil', 'embroidered', 'with', 'delicate', 'patterns', ',', 'used', 'in', 'Filipino', 'cord', 'and', 'veil', 'ceremonies', '.', 'White', 'UNSPECIFIED', 'Embroidered', 'Fabric']","['Embroidered', 'Filipino', 'Unity', 'Veil', 'veil', 'embroidered', 'delicate', 'patterns', 'used', 'Filipino', 'cord', 'veil', 'ceremonies', 'White', 'UNSPECIFIED', 'Embroidered', 'Fabric']","['Embroidered', 'Filipino', 'Unity', 'Veil', 'veil', 'embroidered', 'delicate', 'pattern', 'used', 'Filipino', 'cord', 'veil', 'ceremony', 'White', 'UNSPECIFIED', 'Embroidered', 'Fabric']","['veil', 'embroidered', 'Filipino', 'wedding']","['veil', 'Filipino', 'wedding']"
Bird Arras Arrhae Unity Wedding Coins,"Arrhae coins featuring bird motifs, symbolizing blessings in Filipino weddings.",Wedding Ceremony,Arrhae Coins,Gold,UNSPECIFIED,Metal,"arras, coins, bird motif, Filipino","Bird Arras Arrhae Unity Wedding Coins Arrhae coins featuring bird motifs, symbolizing blessings in Filipino weddings. Gold UNSPECIFIED Metal","['Bird', 'Arras', 'Arrhae', 'Unity', 'Wedding', 'Coins', 'Arrhae', 'coins', 'featuring', 'bird', 'motifs', ',', 'symbolizing', 'blessings', 'in', 'Filipino', 'weddings', '.', 'Gold', 'UNSPECIFIED', 'Metal']","['Bird', 'Arras', 'Arrhae', 'Unity', 'Wedding', 'Coins', 'Arrhae', 'coins', 'bird', 'motifs', 'symbolizing', 'blessings', 'Filipino', 'weddings', 'Gold', 'UNSPECIFIED', 'Metal']","['Bird', 'Arras', 'Arrhae', 'Unity', 'Wedding', 'Coins', 'Arrhae', 'coin', 'bird', 'motif', 'symbolizing', 'blessing', 'Filipino', 'wedding', 'Gold', 'UNSPECIFIED', 'Metal']","['arras', 'coins', 'bird motif', 'Filipino']","['arras', 'coins', 'bird motif', 'Filipino']"
Rosette Wedding Unity Cord Lasso Yugal,"A unity cord lasso adorned with rosette details, used in Filipino ceremonies.",Wedding Ceremony,Unity Cord,White,UNSPECIFIED,Fabric,"cord, rosette, Filipino, wedding","Rosette Wedding Unity Cord Lasso Yugal A unity cord lasso adorned with rosette details, used in Filipino ceremonies. White UNSPECIFIED Fabric","['Rosette', 'Wedding', 'Unity', 'Cord', 'Lasso', 'Yugal', 'A', 'unity', 'cord', 'lasso', 'adorned', 'with', 'rosette', 'details', ',', 'used', 'in', 'Filipino', 'ceremonies', '.', 'White', 'UNSPECIFIED', 'Fabric']","['Rosette', 'Wedding', 'Unity', 'Cord', 'Lasso', 'Yugal', 'unity', 'cord', 'lasso', 'adorned', 'rosette', 'details', 'used', 'Filipino', 'ceremonies', 'White', 'UNSPECIFIED', 'Fabric']","['Rosette', 'Wedding', 'Unity', 'Cord', 'Lasso', 'Yugal', 'unity', 'cord', 'lasso', 'adorned', 'rosette', 'detail', 'used', 'Filipino', 'ceremony', 'White', 'UNSPECIFIED', 'Fabric']","['cord', 'rosette', 'Filipino', 'wedding']","['cord', 'Filipino', 'wedding']"
Jusilyn Silk Filipino Unity Veil (Off-White),"A luxurious silk veil in off-white, designed for Filipino cord and veil ceremonies.",Wedding Ceremony,Unity Veil,Off-White,UNSPECIFIED,Silk,"veil, silk, Filipino, wedding","Jusilyn Silk Filipino Unity Veil (Off-White) A luxurious silk veil in off-white, designed for Filipino cord and veil ceremonies. Off-White UNSPECIFIED Silk","['Jusilyn', 'Silk', 'Filipino', 'Unity', 'Veil', '(', 'Off-White', ')', 'A', 'luxurious', 'silk', 'veil', 'in', 'off-white', ',', 'designed', 'for', 'Filipino', 'cord', 'and', 'veil', 'ceremonies', '.', 'Off-White', 'UNSPECIFIED', 'Silk']","['Jusilyn', 'Silk', 'Filipino', 'Unity', 'Veil', 'Off-White', 'luxurious', 'silk', 'veil', 'off-white', 'Filipino', 'cord', 'veil', 'ceremonies', 'Off-White', 'UNSPECIFIED', 'Silk']","['Jusilyn', 'Silk', 'Filipino', 'Unity', 'Veil', 'Off-White', 'luxurious', 'silk', 'veil', 'off-white', 'Filipino', 'cord', 'veil', 'ceremony', 'Off-White', 'UNSPECIFIED', 'Silk']","['veil', 'silk', 'Filipino', 'wedding']","['veil', 'Filipino', 'wedding']"
